,Tweets
11,"RT @Zrtl1Z: 【MacBook Air 13インチ】

Macを抽選でプレゼント✨
なんとかプレゼント用を確保できました。

◎応募方法
フォロー&amp;リツイートのみ

◎抽選結果
当選者にDM致します。 https://t.co/QHBITKok6h"
12,"SurfaceってもはやMacbook Airのライバルではない説
最早ジャンル的に全部2 in 1じゃん"
13,"MacBook Air Retina 13″ i5 1,6Ghz SSD 128Go 8Go - https://t.co/IUMuiePKND"
14,MacBook air &amp;ipad mini の組み合わせで購入する予定だったのに、MacBook pro &amp;ipad pro の方向で意思が固まりつつある。持ち歩き辛そう(;´Д`)
15,"Hot Deal: 13-inch MacBook Air with 1.6GHz Core i5, 128GB for Just $748 https://t.co/rwXd67QyCM https://t.co/Hpn8rOTrdw"
16,RT @bitterarab: @dreadyvet Skskeksk I love my MacBook Air but I bought it to literally write essays and watch Netflix on which I could’ve d…
17,@dreadyvet Skskeksk I love my MacBook Air but I bought it to literally write essays and watch Netflix on which I co… https://t.co/Htt59RKTNo
18,古い（2012年の）MacBook Airを引っ張り出してCatalinaを入れようと思ったら、Lionからだと直接上げることはできないそうで、一度Yosemiteを入れている、
19,"Vanfast USB-C Charger with 87W Power Delivery 3.0 Port,Replacement for MacBook Pro with 13” 15” After 2016 and Mac… https://t.co/BXfohOHFvP"
20,"RT @afrieirham_: @aswadhanafiah Macbook biasa tu low-end punya use case, dah tak jual rasanya. sebab dia macam pelik.

MacBook Air ni lapto…"
21,"@ashindestad It is a MacBook 'Pro' at the end of the day, and that tag seems to be geared towards 'professionals' i… https://t.co/oFg4e3qU3K"
22,"@AxisBankSupport Hi this in Nilanjan, I had purchased a MAcbook Air from Flipkart on March . It was paid by my axis… https://t.co/OHVCR9zxmD"
23,4/16に注文したmacbook air、やっと深圳出た！
24,@VernekarD https://t.co/HuVJuFhHh1 :)
25,"@bapt_weet @FloMlt1 La réponse est là : pas de suite. Certains disent fin 2020, d’autres début 2021. Je pense qu’il… https://t.co/uCTvkGGtAZ"
26,@devmobnow @notdetails I do hobby coding in a 11” MacBook Air
27,"@bibbleyoon i've heard from some people that after awhile it stops working, the macbook air do got touch id tho"
28,"RT @mrs_syther: Today's IMPORTANT question..
Do I buy a gaming laptop? 

I currently have a MacBook air that's 5 years old - slim - light..…"
29,Cela vaut sans doute le coup d'attendre encore un peu pour s'offrir un Macbook.. même si le dernier MBP 13'' à l'ai… https://t.co/7UAQyNUEOT
30,@marcogumabao Hey! I just got my macbook pro. Ordered online and took about 20 days before it arrive. It may take a… https://t.co/FRWKRCXcer
31,"@wattari7896 家族で使うなら最近出たApple MacBook Air 2020がいいと思いますぜ

ネタならGPD WIN2"
32,"Zubehör für euer MacBook Air: USB-C-Docks, Ladekabel und Netzteile https://t.co/bxVBQYLIBw"
33,MacBook AirとMacBook Proの13inchって、どっちがいいのかな？
34,"新しいMacbook Pro 13インチが発売されたのね。
今のMacbook Proって、軽いんだな。
カタログスペックで、1.4kg。
私のMid 2014モデルだと、1.57kg。
今のMacbook Air が、1.29k… https://t.co/nLaUUYP2N4"
35,Derweil drüben auf https://t.co/bOYU23DwUE: iPad Pro vs MacBook Air: Was ist besser? https://t.co/fa9KGX3DKw https://t.co/e2q7FrtfOQ
36,@afrieirham_ So kalau nak beli better beli macbook pro? Even version 3/4 tahun lepas compare to latest macbook air??
37,"新しいMac book Proを買うかどうか、絶賛悩み中🤔今使ってる12インチMac bookの小さいサイズ感がめちゃ好きなので、13インチのサイズ感と、TouchBarが邪魔じゃないかが不安…

最新MacBook Air・Ma… https://t.co/NZR0JOi9ky"
38,"@aswadhanafiah Macbook biasa tu low-end punya use case, dah tak jual rasanya. sebab dia macam pelik.

MacBook Air n… https://t.co/5Sfl6amz5j"
39,MacBook Air買いたいんだけど、帝国に在庫ない😭😭😭
40,"MNG....

さっき普通に個人情報がん映りしてたから乗せ直し。

Macbook Air 2020 https://t.co/OV85L54b7l"
41,"Apa beza macbook air, macbook dengan macbook pro? Nampak sama je nama je lain"
42,なんやかんやMacBook airのコスパは良いなあなどと。
43,"Macbook Air Deal is back!!!

Apple MacBook Air (13-inch, 8GB RAM, 128GB SSD Storage) - Silver… https://t.co/LgmhAJ7T4P"
44,"RT @arisa_07_07: 🎁Apple製品プレゼント企画🎁

MacBook Pro 
iPad Pro 
iPad Air 
iPad mini

各5名ずつにプレゼント‼️

応募方法はこちらから👇

1️⃣フォロー&amp;RT

2️⃣LINE追加https://t.c…"
45,"MacBook Air 2020
届いたー！ https://t.co/dN2apMglPp"
46,Napravljen od stoprocentnog recikliranog aluminijuma sada je i najzeleniji laptop na svetu. I to nije sve. Sa inova… https://t.co/zNthX2hGDc
47,"Najvoljeniji laptop. Ikad. Neverovatno tanak i lagan, MacBook Air je sad jači nego ikad. Ima sjajan Retina ekran, n… https://t.co/c7nLi1YjGJ"
48,Macbook Air と　iPad Pro を悩んで　Macbook Air にした途端に新しい　Macbook Pro がでたよ
49,Mukang mapapalitan ng MacBook Air yung Pro ko dahil sa online class 💞
50,"appTest: Zubehör für euer MacBook Air: USB-C-Docks, Ladekabel und Netzteile https://t.co/dTILKZd47L"
51,"My mummy is with us for a bit. I gave her my old MacBook Air (as good as new.) 

My objective was that she used it… https://t.co/TYBWizCRBw"
52,Is it possible to use an old ipad 2 as an additional monitor for macbook air without paid apps? 🤔🤓
53,iPad Pro vs MacBook Air: Was ist besser? https://t.co/8SX1sXQ6x4 https://t.co/xQguWD36hO
54,MacBook Air買おうかまじ悩む
55,RT @Mechasubayai: MacBook ProとMacBook Airという、Magic Keyboardを搭載したMacBookがついにコンプリートしました。ということで、スペックが大きく近づいたProとAirを比較、検討します。意外にもProはスペックじゃ見えな…
56,"@usdatascientist PCを新しく買おうと思うのですが、どれを買ったら良いか以下の点で迷っています。

・MacBook Air or MacBook Pro
・メモリは8GBで十分か？16GB必要か？
・core i… https://t.co/qDNT5EIcWG"
57,macbook air買おうとして電気屋さんのサイト見たらどこも売り切れ　オークションでかうのもな〜とappleのサイトで買おうと思ったが届くのが29日、、『待てん！』と隣のproの方見たら8日お届け速攻ポチった。高いねpro、、
58,Wat is beter een MacBook Air of Pro ?
59,"@simplemal Grazie,te lo chiedevo  avevo visto un tuo video in cui parlavi dei problemi dell' affidabilità della tas… https://t.co/tDQW8rccQp"
60,"RT @kenbouapple_com: 正直MacBook Pro  13インチの下位モデルを購入するぐらいならMacBook AirのCPUとメモリをカスタマイズして「メモリ16GBのサクサク感」を手に入れた方が幸せになれる
Mac自体がメモリを多く使う傾向にあるから「Pr…"
61,"RT @SagarRathore_: Atleast Amazon site toh chalu karni chahiye thi taaki mein 

Macbook air 
Recliner sofa 
New LED Tv 
Earpods 

Ye sab wi…"
62,@flackitsman macbook air would be nice🤭
63,眠すぎて何もやる気起きんし買ったMacBook Airはいつまで経っても処理中のままやし貝になりたい
64,https://t.co/bXW5xsqsQg：新型13インチMacBook ProをMacBook Air＆2019年モデルと徹底スペック比較 https://t.co/Jbj1vRKiX8
65,"Premium High quality #LaptopSkins - #GrayHawk #Art for your Macbook Air, Macbook Pro, Macbook Pro Retina, and PC la… https://t.co/kiBZfmHnf3"
66,"RT @L_Phase: うん、500％Windows使うべきだ。

↓訳：MacBook Airで初めてやったの：surface book ページ訪問"
67,"USB C to HDMI Cable for Home Theater | 10ft 4K@60Hz, uni USB Type-C to HDMI Braided Cable [Thunderbolt 3 Compatible… https://t.co/laJkhaPigf"
68,MacBook Airが壊れたって修理すればいい(自己暗示) https://t.co/ajmRUYTwYB
69,MacBook Air があれば書ける。
70,今のMacBook Air外で使うとして家でミックスとかマスタリングするならiMacも手なんじゃないかと思い始めた。。
71,"DVD買ってもBlu-ray欲しくなるから最初からブルーレイ買うべきでは？という結論になった()

MacBook Air
プリリズシリーズ Blu-ray
キンプリSSS DVD ※普段用
洗濯機
株

50万円あれば足りるか…？"
72,MacBook ProをMacBook Airから注文する事になりそう。
73,#MacBook #Air #13インチ #MREE2J/A #1600 #Windows #10プリインストール済みモデル MacBook Air 13インチ MREE2J/A [1600] Windows 10プリインストール… https://t.co/pe6NuDXyB2
74,my work lappy is the new macbook air but im ngl i would never buy this laptop for myself... nope.
75,@aval0vara cualquiera de apple es el mejor para todas las cosas de diseño edición etc (yo tengo el macbook air y me… https://t.co/SgHpcrjBRx
76,RT @Chapata_: พี่เจมส์ซื้อ MacBook pro 13” สี sliver ตัวท็อปสุดให้น้องค่ะ เพราะเห็นว่าอายใช้ air มาตั้งแต่เรียนโทแล้ว ตอนยกมาปลุกฉันที(ไม่ร…
77,初代 MacBook Air 発売当時は MacBook Pro は SuperDrive も搭載していてめちゃ分厚かったから徹底的に無駄を省いた Air のポジションは明確だったけれど今は Pro も十分薄くなったので Air の存在意義がわかりづらくなってますね。
78,"とりあえず作曲マシンが手に入れば

今のMacBook Airの中に入ってる前奏とリズム帯だけが入ってるデータに

iPhoneで打ち込んでるメロとかを合体させて

そこから再スタート

iTunesでデータは同期できるっぽい。

あとiPadでLogicリモート使えば捗ると思う"
79,"MacBook AirのOSをアップデートしたらChromeの立ち上がりが早くなった！

これについては前から読み込みが遅かったので今回アップデートしてホンマ良かった。"
80,"RT @serxeindipity: Someone buy me a macbook air, sims 4, minecraft, netflix, and spotify premium pls😭😭😭"
81,iPad Proを買うのか（ペンシルとキーボード込み）、MacBookを買うのか。MacBookはProなのかAirなのか。どーする
82,#Apple #MacBook Air 13.3 i5 9th Gen #GOLD 1.6Ghz 8GB 128GB (True Tune 2019) UK Keys #BuyNOW $1236.19 #deal https://t.co/pcZueqRvTo
83,"Someone buy me a macbook air, sims 4, minecraft, netflix, and spotify premium pls😭😭😭"
84,"@PIIPPERI800 All retina macbooks have the lamination issue. It’s not exclusive 

And you can do the older argument… https://t.co/HgWdtFgzr6"
85,RT @pppppppppsssss: ฮีทไปป์คือโลหะที่ทำหน้าที่ระบายความร้อนครับ (กลไกลึก ๆ หาอ่านเองนา) การที่ MacBook Air ไม่ให้ไอนี่มาด้วยมันจะให้เกิด Th…
86,RT @pppppppppsssss: ซึ่ง MacBook Pro ถือไผ่เหนือกว่าในเรื่องของการใช้ CPU อยู่แล้วครับ ที่มันฟาดสุดก็คือ “ระบบระบายความร้อน” ภายในตัวเครื่อ…
87,"RT @SagarRathore_: Atleast Amazon site toh chalu karni chahiye thi taaki mein 

Macbook air 
Recliner sofa 
New LED Tv 
Earpods 

Ye sab wi…"
88,"うん、500％Windows使うべきだ。

↓訳：MacBook Airで初めてやったの：surface book ページ訪問 https://t.co/v6bFESeoVF"
89,"RT @BushcraftBox: MacBook Airの上位スペックと13インチMacBook Proの最安モデルどっちがいい？

・値段はいずれも134,800円
・CPUはMacBook Airがクワッドコア
・メモリーは同じ
・SSDはMacBook Airの方が上…"
90,"MacBook買おかな
Airに昔から憧れてたけどどれがいいのかさっぱり"
91,"#今日の積み上げ

✅5時半起床
✅散歩しながら歩行瞑想
✅座学 クリティカルシンキング
→クリティカル シンキング 入門編を購入
✅逆腹筋
✅note執筆中に悲劇は起こる
✅MacBook Air 水没
→現在 乾燥剤と扇風機に… https://t.co/NTNgg2Q2Gf"
92,@deepaksir MacBook Air नै आउँछ नि गतिलो त्यो भन्दा त बुढा !
93,@ss_falcon 動画編集のことを考えると，MacBook Airはパワー不足かなと思いますので(私の体感ですが)，MacBookPro良いと思います^_^
94,@tintama1 2012 年のMacBook Airで、インテルi5のデュアルコア。メモリ８GBだった・・・弱い
95,9to5Mac: Review: $999 MacBook Air (2020) – Apple’s cheapest laptop is a great entry-level Mac [Video].… https://t.co/5MQFnPYNwT
96,"Should you buy the new MacBook Air or MacBook Pro? #Apple #MacBookAir #MacBookPro

https://t.co/tWumlGGO63"
97,"Should you buy the new MacBook Air or MacBook Pro? #Apple #MacBookAir #MacBookPro

https://t.co/nGk97fpCvc"
98,"في أحد له تجربة مع لابتوبات Apple؟؟ MacBook Pro - MackBook air 
يشاركني تجربته .. اسم الجهاز وإيجابياته سلبياته ..… https://t.co/KCp17Uz5mI"
99,"Premium High quality #LaptopSkins - #UnitedStates #CapitalBuilding #Art for your Macbook Air, Macbook Pro, Macbook… https://t.co/KWUvREQ6zX"
